,Unnamed: 0,id,obraUrl,titulo,codigoFCO,numeroCR,dataTexto,imagemUrl,descricaoResumida,descricaoCompleta,localProducao,autoria,tipoObra,tecnica,suporte,numeroDN,altura,largura,assinatura,inscricaoFamilia,inscricaoExposicao,dimensoes,temas,pessoasRetratadas,imagemLocal,ano,decada,cor,cor_proporcao
0,0,14686,https://www.portinari.org.br/acervo/obras/14686/autorretrato,Autorretrato,FCO-1,CR-4093,[1957],https://acervo-portinari.s3.sa-east-1.amazonaws.com/ae148e126345286ac5de04554ef7b513.jpeg,"Composição nos tons claro de ocres, cinza e azul. Textura espessa com pinceladas largas. Autorretrato de meio-busto do artista, tomando a...","Composição nos tons claro de ocres, cinza e azul. Textura espessa com pinceladas largas. Autorretrato de meio-busto do artista, tomando a quase totalidade da área da composição, contra fundo ocre. O retratado está 3/4 para a direita, tem rosto arredondado, cabelos penteados para trás, com ligeiro topete na frente, testa larga e sobrancelhas curtas, espessas. Usa óculos com aros finos e lentes redondas, vendo-se através dos vidros desses, olhos pequenos voltados para frente. Nariz longo, lábios bem delineados e fechados, queixo marcado com reentrância no centro e pescoço largo. Veste camisa de listras verticais em tons cinzas, com colarinho aberto. Fundo com pinceladas largas e paralelas.",Brasil > São Paulo > Brodowski > Brasil > Rio de Janeiro > Rio de Janeiro,Candido Portinari,Pintura,óleo,tela,994,,21.0,"Assinatura estampada na metade inferior à esquerda ""PORTINARI*"". Sem data.","No verso, inscrição de Maria Portinari “ON 994”.",,"29,5 x 21 cm","Retrato, Autorretrato, Figura Humana, Homem",Candido Portinari,14686_Autorretrato.jpeg,1957.0,1950.0,"[[np.float64(0.6639053185475908), np.float64(0.5940753998805424), np.float64(0.4943598002534775)]]",1.0
1,1,14701,https://www.portinari.org.br/acervo/obras/14701/autorretrato,Autorretrato,FCO-2,CR-967,1939,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d29ab44addb4ced0b9aca2e04e07815e.jpeg,"Composição nos tons terras, cinzas, preto, amarelos e verdes. Textura áspera em várias áreas da composição e principalmente no rosto...","Composição nos tons terras, cinzas, preto, amarelos e verdes. Textura áspera em várias áreas da composição e principalmente no rosto do retratado, devido à técnica do óleo com areia, usada na pintura. Retrato de meio-busto do artista contra fundo geometrizado. O retratado está com a cabeça 3/4 voltada para a esquerda e corpo de perfil. Tem rosto arredondado e contornado de preto, cabelos escuros, com mecha caída à esquerda da testa que é larga e lisa. Sobrancelhas retas, olhos redondos, nariz acentuado por contorno preto, boca levemente desenhada, queixo pequeno e arredondado e pescoço curto com várias rugas. Veste camisa branca com colarinho aberto e colete escuro. À esquerda, sugestão de mesa com cadeira à cabeceira, dando a impressão do retratado estar sentado à lateral da mesa. Piso geometrizado, com quadrados e retângulos, sugerindo tacos ou ladrilhos. Ao fundo, sugestão de janela ou porta, vendo-se, ao longe, o mar. Perspectiva sugerida.",Brasil > Rio de Janeiro > Rio de Janeiro,Candido Portinari,Pintura,óleo com areia,tela,986,42.0,35.0,Sem assinatura,"No verso, inscrição de Maria Portinari “ON 986”.",,42 x 35 cm,"Retrato, Autorretrato, Figura Humana, Homem",Candido Portinari,14701_Autorretrato.jpeg,1939.0,1930.0,"[[np.float64(0.42722068946389563), np.float64(0.31130325623364263), np.float64(0.2647168606601239)]]",1.0
2,2,14715,https://www.portinari.org.br/acervo/obras/14715/autorretrato,Autorretrato,FCO-3,CR-4094,1957,https://acervo-portinari.s3.sa-east-1.amazonaws.com/3fb3cbcedbed616139c4bd1abeb476ad.jpeg,"Composição nos tons ocres, terras, brancos, azuis e amarelos. Textura espessa no rosto e na camisa. Autorretrato de busto do artista...","Composição nos tons ocres, terras, brancos, azuis e amarelos. Textura espessa no rosto e na camisa. Autorretrato de busto do artista contra fundo geometrizado. O retratado está de frente ligeiramente voltado para a direita. Tem rosto arredondado, cabelo curto com entradas pronunciadas, testa larga, usa óculos, vendo-se através das lentes olhos pequenos e fechados. Nariz longo, lábios finos e fechados e queixo pequeno. Usa camisa aberta no colarinho na qual se sente nitidamente o tratamento da pincelada. Fundo, por trás da cabeça, em área azul assim como à direita, e geometrismo bem acentuado, em tons ocres.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,óleo,madeira,995,54.0,45.0,Sem assinatura,"No verso, inscrição de Maria Portinari “ON 995A”.","No verso, inscrição “Nº 20 Milão”; etiquetas “Nº 20 Exposição no Pavilhão de Arte Contemporânea de Milão Itália 21 de março a 21 de abril de 1963 Col. João Candido Portinari” e “Fink lote CX Des. nº 13 São Paulo”.",54 x 45 cm,"Retrato, Autorretrato, Figura Humana, Homem",Candido Portinari,14715_Autorretrato.jpeg,1957.0,1950.0,"[[np.float64(0.4413295131172247), np.float64(0.3854710233711445), np.float64(0.3244643352189156)]]",1.0
3,3,14720,https://www.portinari.org.br/acervo/obras/14720/meu-pai,Meu Pai,FCO-4,CR-4095,1957,https://acervo-portinari.s3.sa-east-1.amazonaws.com/626cb0594c934a1c6b26c7a3faf81a64.jpeg,"Composição nos tons ocres, terras, verdes, rosa e cinzas. Textura espessa. Retrato de busto do pai do artista 3/4 voltado para a...","Composição nos tons ocres, terras, verdes, rosa e cinzas. Textura espessa. Retrato de busto do pai do artista 3/4 voltado para a esquerda, contra fundo escuro. O retratado tem rosto alongado, cabelo curto, testa larga com rugas, sobrancelhas marcadas, olhos redondos contornados também por rugas, nariz longo, lábios finos e fechados e queixo arredondado. Luz incidindo sobre a testa e parte da face esquerda do rosto. Veste camisa amarela com colarinho fechado. Fundo escuro realçando o rosto do retratado, produzindo um forte contraste com o fundo escuro da composição.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,"óleo, aguada de aquarela",madeira,946,,,Sem assinatura,"No verso, inscrição de Maria Portinari “ON 946”.",,"40,5 x 32,5 cm","Retrato, Família do artista, Pai, Figura Humana, Homem",Baptista Portinari,14720_Meu_Pai.jpeg,1957.0,1950.0,"[[np.float64(0.04789708310997761), np.float64(0.04347389235669724), np.float64(0.031449306729114064)], [np.float64(0.6084866344099837), np.float64(0.5382277367851315), np.float64(0.44117578402205754)], [np.float64(0.3472478885011785), np.float64(0.23069527146037386), np.float64(0.14972537620966264)]]",0.4744673532354903
4,4,14726,https://www.portinari.org.br/acervo/obras/14726/meu-pai,Meu Pai,FCO-5,CR-943,[1938],https://acervo-portinari.s3.sa-east-1.amazonaws.com/e438d8ea73d84724e248af5d96a9c4e0.jpeg,"Composição nos tons terras, verdes, amarelos, vermelho, preto e violeta. Textura lisa. Retrato de meio-busto do pai do artista contra...","Composição nos tons terras, verdes, amarelos, vermelho, preto e violeta. Textura lisa. Retrato de meio-busto do pai do artista contra fundo liso e claro. O retratado está 3/4 voltado para a esquerda, tem rosto alongado, cabelos curtos, testa larga, sobrancelhas finas, olhos fundos, têmpora esquerda acentuada escura, nariz longo, boca levemente delineada com bigode e queixo longo. Usa camisa de colarinho, gravata e paletó escuro. Luz incidindo pela esquerda da composição iluminando o rosto do retratado. Fundo em tom mais escuro na área esquerda da composição.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,óleo,tela,409,44.0,32.0,Sem assinatura e sem data,"No verso, traços possivelmente feitos pelo artista; inscrição de Maria Portinari “ON 409”.",,44 x 32 cm,"Retrato, Família do artista, Pai, Figura Humana, Homem",Baptista Portinari,14726_Meu_Pai.jpeg,1938.0,1930.0,"[[np.float64(0.2019396616155052), np.float64(0.17426568620125643), np.float64(0.15193814770834801)], [np.float64(0.7530170893826414), np.float64(0.7875340975699451), np.float64(0.7976491261977011)]]",0.7912616555242786
5,5,14733,https://www.portinari.org.br/acervo/obras/14733/minha-mae,Minha Mãe,FCO-6,CR-942,[1938],https://acervo-portinari.s3.sa-east-1.amazonaws.com/9dfac3e235dd243f0b8b856919945efb.jpeg,"Composição nos tons escuros de terras, azuis e preto e nos tons ocre e branco. Textura lisa. Retrato de busto da mãe do artista, já de...","Composição nos tons escuros de terras, azuis e preto e nos tons ocre e branco. Textura lisa. Retrato de busto da mãe do artista, já de certa idade, contra fundo liso e escuro. A retratada está de frente, ligeiramente voltada para a esquerda. Tem rosto arredondado, cabelos para trás, sugerindo estarem presos. Testa larga, com marcas mostrando a idade avançada, sobrancelhas bastante marcadas, olhos amendoados voltados para frente. Vê-se a orelha esquerda, parte encoberta pelos cabelos. Nariz longo, um pouco largo, lábios fechados e finos, queixo arredondado e pescoço grosso com marcas, vendo-se a sua volta o decote rente do vestido preto que usa. Os ombros estão cortados pelas margens laterais do suporte. O fundo escuro e o vestido preto contrastam com o rosto da retratada, vendo-se luz incidindo sobre a sua face esquerda.",Brasil > Rio de Janeiro > Rio de Janeiro,Candido Portinari,Pintura,óleo,tela,1119,55.0,46.0,"Assinada no canto inferior direito ""PORTINARI"". Sem data","No verso, inscrição de Maria Portinari “ON 1119”.",,55 x 46 cm,"Retrato, Família do artista, Mãe, Figura Humana, Mulher",Dominga Torquato,14733_Minha_M_e.jpeg,1938.0,1930.0,"[[np.float64(0.11130804556023233), np.float64(0.11499582899372202), np.float64(0.11647848488806711)], [np.float64(0.5733449409037967), np.float64(0.3658921817053815), np.float64(0.21278175016706785)]]",0.8546029342353682
6,6,14736,https://www.portinari.org.br/acervo/obras/14736/retrato-de-dona-dominga-e-seu-baptista,Retrato de Dona Dominga e Seu Baptista,FCO-7,CR-1361,[1941],https://acervo-portinari.s3.sa-east-1.amazonaws.com/bfd70b9c075bf84bed06f711a9a21a03.jpeg,"Composição nos tons terra, cinzas, ocres, verdes, rosa e preto. Textura lisa. Composição representando casal sentado em um sofá,...","Composição nos tons terra, cinzas, ocres, verdes, rosa e preto. Textura lisa. Composição representando casal sentado em um sofá, contra fundo liso, ocupando a quase totalidade da área do suporte, sendo que os rostos não têm quase traços fisionômicos definidos. À esquerda, figura de mulher corpulenta sentada de frente, ligeiramente voltada para a direita. Seu rosto não tem traços fisionômicos marcados, percebendo-se apenas a sua forma. Usa vestido escuro com decote em ""V"" e tem as mãos no colo sugerindo estarem entrelaçadas. Vê-se depois da bainha da saia, que é bastante longa, tornozelo e pé que estão pintados em cor preta. À direita homem sentado de frente ligeiramente voltado para a esquerda. Tem o rosto com alguns traços fisionômicos indicados, veste terno com gravata e sapatos pretos. O casal está sentado lado a lado, em sofá de dois lugares de formas retilíneas, vendo-se o espaldar na altura do meio das costas do casal.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,aquarela,cartão,95,22.0,23.0,"Assinatura estampada na metade inferior à direita ""PORTINARI*"". Sem data","No verso, autenticação e inscrições de Maria Portinari “DN 95” e “Nº 684”.",,22 x 23 cm,"Retrato, Família do artista, Mãe, Retrato, Família do artista, Pai, Figura Humana, Casal","Dominga Torquato, Baptista Portinari",14736_Retrato_de_Dona_Dominga_e_Seu_Baptista.jpeg,1941.0,1940.0,"[[np.float64(0.9118504223987842), np.float64(0.88923467749195), np.float64(0.8739092505198306)], [np.float64(0.2302728239100146), np.float64(0.20029753148482768), np.float64(0.19728243844703866)]]",0.5994749253528773
7,7,14741,https://www.portinari.org.br/acervo/obras/14741/retrato-de-maria-torquato,Retrato de Maria Torquato,FCO-8,CR-4096,1957,https://acervo-portinari.s3.sa-east-1.amazonaws.com/a94427e4652bf63a9fd4971e9ebfe8e1.jpeg,"Composição nos tons claros de terras, ocres, cinzas, amarelo, vermelho, rosa, e verdes. Textura lisa com pinceladas aparentes. Retrato de...","Composição nos tons claros de terras, ocres, cinzas, amarelo, vermelho, rosa, e verdes. Textura lisa com pinceladas aparentes. Retrato de busto da avó do artista, já de certa idade, de frente, contra fundo geometrizado. A retratada tem rosto redondo, cabelos divididos ao meio e puxados para trás, testa grande com rugas, sobrancelhas grossas, olhos amendoados, nariz adunco lábios finos e fechados e expressão severa. Usa vestido com decote rente ao pescoço, arrematado por debrum que continua na frente do vestido para baixo. O fundo e a roupa da retratada são compostas de áreas geométricas coloridas e superpostas que sugerem transparência.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,óleo,madeira,947,46.0,38.0,Sem assinatura,"No verso, inscrição de Maria Portinari “ON 947”.",,46 x 38 cm,"Retrato, Família do artista, Avó, Figura Humana, Mulher",Maria Torquato,14741_Retrato_de_Maria_Torquato.jpeg,1957.0,1950.0,"[[np.float64(0.3383401315231726), np.float64(0.3478024891212895), np.float64(0.3553246177549227)]]",1.0
8,8,14743,https://www.portinari.org.br/acervo/obras/14743/retrato-de-maria,Retrato de Maria,FCO-9,CR-418,1933,https://acervo-portinari.s3.sa-east-1.amazonaws.com/bb81510afd6a4a6b72849a391f2e8b13.jpeg,"Composição nos tons terras, vermelho, preto, verde, rosa, ocre e azul. Tratamento com pinceladas livres. Textura lisa. Retrato de busto...","Composição nos tons terras, vermelho, preto, verde, rosa, ocre e azul. Tratamento com pinceladas livres. Textura lisa. Retrato de busto de Maria, de frente, sentada em cadeira de espaldar alto contra fundo dividido em tons claro e escuro. A retratada tem a cabeça alongada, cabelos escuros divididos ao meio presos atrás, vendo-se as duas orelhas, testa larga, sobrancelhas sugeridas, olhos amendoados voltados para frente, nariz fino e reto, lábios fechados e bem delineados, queixo afilado e pescoço longo. Luz incidindo sobre a esquerda do rosto. Veste casaco marrom, blusa vermelha com decote em ""V"". Atrás da retratada vê-se o espaldar alto da cadeira. Fundo com área esquerda mais clara e área direita mais escura.",Brasil > Rio de Janeiro > Rio de Janeiro,Candido Portinari,Pintura,óleo,tela,990,43.0,,"Assinada e datada no canto superior esquerdo ""C. PORTINARI 933""","No verso, inscrição de Maria Portinari “ON 990”.","No verso, etiquetas “Exposição no Pavilhão de Arte Contemporânea de Milão-Itália 21 de março a 21 de abril de 1963 – Col. João Candido Portinari” e “2743/73 M. Portinari A 4”.","43 x 35,5 cm","Retrato, Família do artista, Mulher, Figura Humana, Mulher",Maria Portinari,14743_Retrato_de_Maria.jpeg,1933.0,1930.0,"[[np.float64(0.234681344229283), np.float64(0.15937679703259644), np.float64(0.13259660709498938)]]",1.0
9,9,14745,https://www.portinari.org.br/acervo/obras/14745/retrato-de-maria,Retrato de Maria,FCO-10,CR-4097,1957,https://acervo-portinari.s3.sa-east-1.amazonaws.com/b7594f78d2226bc666526548cc336dd0.jpeg,"Composição nos tons cinzas, vermelhos, ocres e terras. Textura espessa. Retrato de busto de Maria, de frente, contra fundo geometrizado,...","Composição nos tons cinzas, vermelhos, ocres e terras. Textura espessa. Retrato de busto de Maria, de frente, contra fundo geometrizado, ocupando a quase totalidade da área da composição. A retratada tem o rosto oval ligeiramente voltado para a direita, cabelo curto, dividido do lado esquerdo, franja curta cobrindo parte direita da testa, que é longa. Sobrancelhas finas, olhos amendoados, nariz pequeno, lábios bem definidos e fechados, queixo regular e longo pescoço. Usa vestido ou blusa com decote em ""V"", onde, no final está preso o que seria um broche retangular; as mangas sugerem ser longas. Textura espessa na área da roupa. Fundo com áreas de retângulo de cores definidas com alguns pequenos quadrados nas interseções dos retângulos.",Brasil > São Paulo > Brodowski,Candido Portinari,Pintura,óleo,tela,993,55.0,,Sem assinatura,"No verso, inscrição de Maria Portinari “ON 993”.",,"55 x 45,5 cm","Retrato, Família do artista, Mulher, Figura Humana, Mulher",Maria Portinari,14745_Retrato_de_Maria.jpeg,1957.0,1950.0,"[[np.float64(0.22186468281351354), np.float64(0.14834771655253107), np.float64(0.10916197143868214)], [np.float64(0.6775234703727642), np.float64(0.5274495898062469), np.float64(0.40347818729532164)]]",0.8972736586234983
