Local,Obra
Apucarana e Região,Cafezal (c. 1942)
Maceió e Região,Arrastão (1959)
Alto Médio Rio das Velhas,Faiscadores de Ouro (1948)
Amapá,Índia Carajá (1959)
Amazonas,Floresta Amazônica (1957)
"Anápolis e Região, Vale do São Patrício e Norte Goiano",Quatro Vaqueiros Laçando Boi (1958)
Acre,Índia Carajá (1959)
Centro-Oeste de Minas,Paz (1954)
Belém e Região Metropolitana,Seringal (1957)
Belo Horizonte,Civilização mineira (1959)
"Campo Mourão, Umuarama e Região",Colheita do Café (1960)
Centro-Leste de Minas,Ferro (1938)
Baixada Fluminense,Circo (1957)
Fortaleza e Região Metropolitana,Arrastão (1958)
Contagem e Médio Paraopeba,Civilização mineira (1959)
"Cornélio Procópio, Jacarezinho e Região",Cortador de Cana (1958)
Curitiba e Região Metropolitana,Meninos Soltando Pipa (c. 1943)
Curitiba e Região Metropolitana,Construção (c.1959)
Distrito Federal,Juscelino Kubitschek por Candido Portinari
Centro-Oeste Goiano,Boizinhos (1938)
Litoral e Interior do Ceará,Cangaceiro (1956)
Grande Florianópolis,Regata (1928)
Interior de Pernambuco,Cangaceiro (1955)
Interior do Espírito Santo,Paisagem (1940)
Interior do Pará ,Seringueiros (1938)
Leste e Nordeste de Minas,Gado (1938)
Goiânia e Região Metropolitana,Laçando Boi (1958)
Niterói e Leste Fluminense,Paisagem (1940)
Londrina e Região,Café (1935)
Maranhão,Boi (1958)
"Maringá, Paranavaí e Região",Transporte de Café (1960)
Mato Grosso do Sul,Peixes (1941)
Paraná Oeste,Erva-Mate (1938)
Pelotas e Região,Gado (1938)
Norte Catarinense,Meninos com Carneiro (1959)
Paraíba,Paisagem com Mar (1934)
Paraíba,Festa de São João (1958)
Norte e Noroeste Fluminense,Colheita de Arroz (1954)
Norte e Noroeste de Minas,Serenata
Norte e Noroeste da Bahia,O Sorveteiro (1934)
Paraná Litoral,Flora e Fauna Brasileiras (c.1934)
Litoral Norte do Rio Grande do Sul,Marinha (1953)
Mato Grosso,Floresta III (1938)
Serra Catarinense e Região Oeste,Bandeirantes (1960)
Vale dos Sinos,Cambalhota (1958)
Vale do Itajaí,Meninos Brincando com Arapuca (1960)
Tocantins,Arrozal (1947)
Sul e Sudeste Goiano,Grupo de Meninas (1940)
Sul e Sudoeste da Bahia,Descobrimento (1956)
Sul e Centro-Sul Fluminense,Lavrador de Café (1934)
Sul de Minas,Cena de Cafezal (1957)
Sul Catarinense,Tintureiro (1959)
Sudoeste de Minas,Café (1938)
Serrana e Centro-Oeste Fluminense,Paisagem de Petrópolis (1952)
Vitória e Região Metropolitana ,Café (1940)
Rio Grande do Norte,Jangada (1950)
Salvador e Região Metropolitana,Baiana (1953)
Roraima,Fundição de Ferro (1938)
Rondônia,Catequese (1942)
Rio de Janeiro,Flautista (1934)
Rio de Janeiro,Cena de Praia (1960)
Aracaju e Região ,Bumba-Meu-Boi (1956)
Região Metropolitana de Recife e Arquipélago Fernando de Noronha,Frevo (1956)
Região Oeste e Fronteira do Rio Grande do Sul,Cavaleiro da Lua Cheia (1942)
Região Norte do Rio Grande do Sul,Colheita de Arroz (1957)
Região Noroeste do Rio Grande do Sul,Coluna Prestes (1950)
Região Nordeste do Rio Grande do Sul,Cena Gaúcha (1939)
Região Metropolitana (não possui dado de onde),Praça (1939)
Região Sul do Rio Grande do Sul,Pescadores (1950)
Piauí,Bumba-Meu-Boi (1959)
Região dos Lagos,Marinha (1953)
Região do Ouro e Mata-Norte,Faiscadores de Ouro (1938)
Região da Mata e Campos das Vertentes,Fiandeiras
Região Centro do Rio Grande do Sul,Tabaco (1939)
Porto Alegre,Gaúchos (1954)
Região Geoeconômica de Brasília,Meninos soltando papagaios
Paraná Oeste,Colhendo Milho (1959)
Paraná Sul (União da Vitória e Região),Catequese 2 (19??)
Paraná Sul (Ponta Grossa e Região),Kibutz (1957-58)
Paraná Sul (Guarapava e Região),Praça de Touros (19??)
Paraná Sudoeste,Mulheres Carregando Lenha (1957)
