id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_001,19,"  Fizeram uma parada, uma parada / Para o trem carregar café, / Antes, estradas difíceis, só carros de bois / Transitavam, levando dias e dias. / Depois, uma casa aqui, outra ali. / Formaram o povoado. Não / Há rio, nem pedras. / De tijolos caiados e telhas antigas / São as construções; de taipas e / Arame farpado, os divisores. / Lugar arenoso no meio da terra roxa / Cafeeira. Imenso céu azul circula / O areal. Milhares de brancas nuvens / Viajam. Caravanas luminosas / Em movimento. O mais solitário, ali / Deixaria de sê-lo. Toda essa fagueira / Companhia. Alegre e promissor / Futuro… / As festas, os bailes, a banda de música / Procissões e o sino repicando… / Muito povo endomingado / Noites enluaradas e todas as estrelas / Eram mais claras do que os dias nos outros povoados.",Praça de Brodowski,1956,Desenho a nanquim bico de pena/papel,"Brodowski, SP",28 × 36 cm,Coleção particular
poema_002,21,"  Antes da luz e da água encanada, / No povoado havia lamparina / E cisterna; dez a quinze metros / Para encontrar o líquido. / Os circos traziam iluminação / De carbureto. Próximos / Dos elementos. Quantos vendavais e / Chuvas de granizo! / Moinhos de garapa, / Feitos de madeira — canaviais / E matas virgens com seus pássaros e / Frutas. Consumiram / Tudo e mais as lendas. Onde / Estarão os jacus e as pacas? / Os jenipapos e jatobás? / As estradas cortando as / Matas criavam estórias / E medos. Os caminhos / Também fugiram. Olhando / O céu, às vezes os vejo transformados em nuvens.",Circo,1941,Desenho a guache e nanquim pincel/papel,"Washington, DC","25 × 28,5 cm",Coleção particular
poema_0025,23,"  Saí das águas do mar / E nasci do cafezal de / Terra roxa. Passei a infância / No meu povoado arenoso. / Andei de bicicleta e em / Cavalo em pelo. Tive medos / E sonhei. Viajei no espaço. / Fui à lua primeiro do que o Sputnik. / Caminhei além, muito além, para / Lá do paraíso. Desci de paraquedas, / Atravessei o arco-íris, cheguei / Nos olhos-d’água antes do sol nascer. / 23       ",,,,,,
poema_004,25,  Nasci e montei na garupa / De muitos cavaleiros. Depois / Montei sozinho em cavalo de / Pé de milho. Fiz as mais / Estranhas viagens e corri / Na frente da chuva durante / Muitos sábados. Dava poeira / No trenzinho de Guaivira. / Paco espanhol era meu parceiro. / Vivíamos apavorados com os / Temporais — pareciam odiar / Aqueles lugares… / Vinham ferozes contra as / Sete ou oito cabanas / Desarmadas.,Meninos a cavalo,1959,Gravura a água-forte e grafite/papel pardo,"Rio de Janeiro, RJ",22 × 18 cm,Coleção Sociedade dos Cem Bibliófilos do Brasil
poema_005,27,"  Num pé de café nasci. / O trenzinho passava / Por entre a plantação. Deu a hora / Exata. Nesse tempo os velhos / Imigrantes impressionavam os recém-chegados. / O tema do falatório era o lobisomem. / A lua e o sol passavam longe. / Mais tarde mudamos para a Rua de Cima. / O sol e a lua moravam atrás de nossa / Casa. Quantas vezes vi o sol parado. / Éramos os primeiros a receber sua luz e calor. / Em muitas ocasiões ouvi a lua cantar. / Esmerava-se para aparecer nitidamente / Redonda. Ficava espiando do nosso maracujazeiro. / Surpreendido, vendo São Jorge à paisana, / Pensei pedir-lhe o cavalo emprestado. / Não me animei. A lua estava de vestido de / Noiva. Os sinos começaram a badalar. / As gentes acudiam, era a missa do galo. / Os dos sítios do Adão e dos olhos-d’água / Lá estavam desde cedo. / As estrelas baixaram iluminando o lado / De fora da igreja, onde se aglomeravam / As gentes, os cães e os animais de / montaria. / O Dragão veio se chegando de chinelos…",Café,1957,Desenho a grafite/papel,"Rio de Janeiro, RJ","36,6 × 51,1 cm",Coleção particular
poema_006,29,"  Minha memória já não alcança / Aqueles cafezais. Começa / No passado. Antes há lembranças entrelaçadas / E sonhos. Mesmo se prolongando / Até lá, vejo esfumaçado. / Os sonhos se repetem? / As nuvens no céu? / A água do rio terá a / Mesma medida? Ou a mesma cor? / Sofrerá a água? / Correr, correr sempre, e ter olhos / Para ver como quiser: ver a / Estrada azul voar no espaço / Como a brisa e disparar / No cavalo branco sem se importar / Para onde.",Colheita de café,1956,Pintura a óleo/tela,"Rio de Janeiro, RJ",81 × 100 cm,Coleção particular
poema_007,31,"  Amanhecer alegre nas festas / Da fazenda. Preparavam / Os cavalos atrelando-os aos / Troles. Iam buscar a música. / O baile dessa vez não era / De sanfona. O dono era / Importante. O córrego estranhava / Ter de refletir tantas gentes e animais. / Fogueiras, quentão e rapadura. / As moças endomingadas valiam-se / De Santo Antônio. O céu estava / Completo e nítido. Cada um esperava / Sua alegria — para a maioria não / Vinha — o vento a conduzia para / Outras terras, às vezes, olhando à toa, / Vejo passando qualquer coisa branca. / É uma alegria sem destino / Ou uma estrela morta. O som da / Música do baile vaga no espaço / Ou no assobio dos namorados.",Noite de São João,1957,Pintura a óleo/tela,"Rio de Janeiro, RJ",58 × 71 cm,Coleção particular
poema_008,33,"  Distante o mais longe na memória / A casa velha, o coqueiro solitário. / No amanhecer do orvalho / Moravam os donos do gado. / Era em algum lugar numa / Estória de Dona Iria ou dentro / Da chuva. Não havia lua e nem / Sol. Qualquer coisa branca e azulada. / Não sei o que está preso / Em mim: lembrança fixada / Em meus olhos. Se não penso, / Ela surge. A cor da porta e / Da janela perdi e nunca mais / Achei. Contente mesmo assim, / Em sonhos vejo tudo e / A porta e a janela — mas em preto e branco.",Moça,1940,Pintura a óleo/tela,"Rio de Janeiro, RJ","40,5 × 30,2 cm",Coleção desconhecida
poema_0036,34,"  Do sol dos sábados chovia alegria / Endomingava as árvores e toda / A natureza. Na varrição dos terreiros / Se ocupavam todos da família. / Em seguida, dos milhares de / Montículos a fumaça subia e / Se transformava num coro de anjos. / De volta à casa / Passava um ou outro trole / Ou cavaleiro vindo das fazendas. / Na pracinha frangos e perus / Ciscavam. Cães e cabritos circulavam / Indecisos e amedrontados. / Não há mais fumaça de anjo / E nem varrição de terreiro. / Do sol nunca mais choveu. / 34                                                                        ",,,,,,
poema_0037,35,"  As porteiras nos caminhos / Tortuosos e semelhantes às covas / Do cemitério. Porteiras rangendo / Ou batendo. O eco rápido / Comunicava-se até para lá do / Longe. Silenciosas quase sempre. / Raros caminhantes. Cores diversas. / As mais próximas das fazendas / Alegravam-me sempre, / A porteira preta acolhia / As assombrações, a coragem / Ao avistá-la fugia no espaço. / Outras tão alegres, preferidas / Dos pássaros. Podiam morar / Ali. Nenhum de nós tocava nos ninhos. / O som das porteiras distantes que estão dentro de mim… / 35       ",,,,,,
