id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_001,19,"  Fizeram uma parada, uma parada / Para o trem carregar café, / Antes, estradas difíceis, só carros de bois / Transitavam, levando dias e dias. / Depois, uma casa aqui, outra ali. / Formaram o povoado. Não / Há rio, nem pedras. / De tijolos caiados e telhas antigas / São as construções; de taipas e / Arame farpado, os divisores. / Lugar arenoso no meio da terra roxa / Cafeeira. Imenso céu azul circula / O areal. Milhares de brancas nuvens / Viajam. Caravanas luminosas / Em movimento. O mais solitário, ali / Deixaria de sê-lo. Toda essa fagueira / Companhia. Alegre e promissor / Futuro… / As festas, os bailes, a banda de música / Procissões e o sino repicando… / Muito povo endomingado / Noites enluaradas e todas as estrelas / Eram mais claras do que os dias nos outros povoados.",Praça de Brodowski,1956,Desenho a nanquim bico de pena/papel,"Brodowski, SP",28 × 36 cm,Coleção particular
poema_002,21,"  Antes da luz e da água encanada, / No povoado havia lamparina / E cisterna; dez a quinze metros / Para encontrar o líquido. / Os circos traziam iluminação / De carbureto. Próximos / Dos elementos. Quantos vendavais e / Chuvas de granizo! / Moinhos de garapa, / Feitos de madeira — canaviais / E matas virgens com seus pássaros e / Frutas. Consumiram / Tudo e mais as lendas. Onde / Estarão os jacus e as pacas? / Os jenipapos e jatobás? / As estradas cortando as / Matas criavam estórias / E medos. Os caminhos / Também fugiram. Olhando / O céu, às vezes os vejo transformados em nuvens.",Circo,1941,Desenho a guache e nanquim pincel/papel,"Washington, DC","25 × 28,5 cm",Coleção particular
poema_004,25,"  Nasci e montei na garupa / De muitos cavaleiros. Depois / Montei sozinho em cavalo de / Pé de milho. Fiz as mais / Estranhas viagens e corri / Na frente da chuva durante / Muitos sábados. Dava poeira / No trenzinho de Guaivira. / Paco espanhol era meu parceiro. / Vivíamos apavorados com os / Temporais — pareciam odiar / Aqueles lugares… / Vinham ferozes contra as / Sete ou oito cabanas / Desarmadas.",Meninos a cavalo,1959,Gravura a água-forte e grafite/papel pardo,"Rio de Janeiro, RJ",22 × 18 cm,Coleção Sociedade dos Cem Bibliófilos do Brasil
poema_005,27,"  Num pé de café nasci. / O trenzinho passava / Por entre a plantação. Deu a hora / Exata. Nesse tempo os velhos / Imigrantes impressionavam os recém-chegados. / O tema do falatório era o lobisomem. / A lua e o sol passavam longe. / Mais tarde mudamos para a Rua de Cima. / O sol e a lua moravam atrás de nossa / Casa. Quantas vezes vi o sol parado. / Éramos os primeiros a receber sua luz e calor. / Em muitas ocasiões ouvi a lua cantar. / Esmerava-se para aparecer nitidamente / Redonda. Ficava espiando do nosso maracujazeiro. / Surpreendido, vendo São Jorge à paisana, / Pensei pedir-lhe o cavalo emprestado. / Não me animei. A lua estava de vestido de / Noiva. Os sinos começaram a badalar. / As gentes acudiam, era a missa do galo. / Os dos sítios do Adão e dos olhos-d’água / Lá estavam desde cedo. / As estrelas baixaram iluminando o lado / De fora da igreja, onde se aglomeravam / As gentes, os cães e os animais de / montaria. / O Dragão veio se chegando de chinelos…",Café,1957,Desenho a grafite/papel,"Rio de Janeiro, RJ","36,6 × 51,1 cm",Coleção particular
poema_006,29,"  Minha memória já não alcança / Aqueles cafezais. Começa / No passado. Antes há lembranças entrelaçadas / E sonhos. Mesmo se prolongando / Até lá, vejo esfumaçado. / Os sonhos se repetem? / As nuvens no céu? / A água do rio terá a / Mesma medida? Ou a mesma cor? / Sofrerá a água? / Correr, correr sempre, e ter olhos / Para ver como quiser: ver a / Estrada azul voar no espaço / Como a brisa e disparar / No cavalo branco sem se importar / Para onde.",Colheita de café,1956,Pintura a óleo/tela,"Rio de Janeiro, RJ",81 × 100 cm,Coleção particular
poema_007,31,"  Amanhecer alegre nas festas / Da fazenda. Preparavam / Os cavalos atrelando-os aos / Troles. Iam buscar a música. / O baile dessa vez não era / De sanfona. O dono era / Importante. O córrego estranhava / Ter de refletir tantas gentes e animais. / Fogueiras, quentão e rapadura. / As moças endomingadas valiam-se / De Santo Antônio. O céu estava / Completo e nítido. Cada um esperava / Sua alegria — para a maioria não / Vinha — o vento a conduzia para / Outras terras, às vezes, olhando à toa, / Vejo passando qualquer coisa branca. / É uma alegria sem destino / Ou uma estrela morta. O som da / Música do baile vaga no espaço / Ou no assobio dos namorados.",Noite de São João,1957,Pintura a óleo/tela,"Rio de Janeiro, RJ",58 × 71 cm,Coleção particular
poema_008,33,"  Distante o mais longe na memória / A casa velha, o coqueiro solitário. / No amanhecer do orvalho / Moravam os donos do gado. / Era em algum lugar numa / Estória de Dona Iria ou dentro / Da chuva. Não havia lua e nem / Sol. Qualquer coisa branca e azulada. / Não sei o que está preso / Em mim: lembrança fixada / Em meus olhos. Se não penso, / Ela surge. A cor da porta e / Da janela perdi e nunca mais / Achei. Contente mesmo assim, / Em sonhos vejo tudo e / A porta e a janela — mas em preto e branco.",Moça,1940,Pintura a óleo/tela,"Rio de Janeiro, RJ","40,5 × 30,2 cm",Coleção desconhecida
poema_011,37,"  Festas, procissões, banda de música, / Leilões de prendas e o repique dos sinos, / Passeio na retreta, moças bonitas, / Todos com suas melhores roupas. / Na plataforma da estação / Esperávamos a chegada do trem / Talvez viesse qualquer coisa / Para nós: um volume de alegrias. Como / Era imenso o pequeno povoado! / Cada um de nós tinha namorada, / Mesmo sem ela saber. / Nos bailes nossos olhos acompanhavam / A mais bela. Quando tudo terminava, / A tristeza descia sobre nós… / Só nos restava a / Volta do coreto nos domingos. / Badalava a hora da reza. / Melancólicos, éramos obrigados a ir embora. / Como demoravam passar os dias! / As moças das fazendas só viriam no ano próximo.",Festa em Brodowski,1933,"Desenho a aquarela, guache e grafite/papel pardo","Brodowski, SP",33 × 51 cm,Coleção particular
poema_012,39,"  Com os pés e os lábios rachados / Pelo frio do inverno, saíamos / Ao encontro dos companheiros, / Mesmo quando a chuva monótona / Invernava. / Íamos ver os ninhos de / Passarinhos, cada um zelava / De uns quantos. Nenhum os maltratava. / Levávamos alimentos para eles / Distribuíamos arapucas pelo pasto. / Assim brincando, crescíamos. / O vento passava sem destruir nada. / Voltávamos correndo, / Íamos / Nos aquecer perto do fogo, / Que nessa estação / Permanecia aceso. / Fazíamos pipoca. Às vezes, / Confortados adormecíamos. ",Menino com passarinho e arapuca,1959,Pintura a óleo/madeira,"Rio de Janeiro, RJ",167 × 68 cm,Coleção particular
poema_013,41,"  A madrugada conta-me sempre, e / Sempre não entendo. Talvez / Sejam avisos do mal que me sucede. / As chuvaradas de meu / Povoado… Estas nos traziam tanta alegria! / Patinhávamos na enxurrada. / Todos nós saíamos à rua / Felizes em nossas roupas molhadas. / As madrugadas daqueles tempos / Eram raras. Despertávamos / Ouvindo o canto dos carros de bois. / O sono nos largava, ficávamos / À espera do clarear do dia / Para sairmos. Os sons / Longínquos ou próximos / Faziam-nos palpitar. Por onde / Andarão aquelas madrugadas?",Tempestade,1943,Pintura a óleo/tela,"Rio de Janeiro, RJ","61,5 × 74 cm",Coleção particular
