texto,label,Author,predicao,acerto,label_nome,predicao_nome
"Nas noites de temporal as Casuarinas choravam um choro Triste, triste e o sino tocava Sozinho na igrejinha deserta Alguns cavalos amedrontados Galopavam sem direção… Inquietantes barulhos vagavam no Espaço. Gotejava em todos os aposentos. Refletiam as vidraças quebradas Os",1,,1,1,Portinari,Portinari
Minha pupila estará cheia De tanta gente? Mas está vazia… Fantasmas movendo-se Sem existência. Levarei meus olhos fugindo Procuro os escondidos inutilmente… Na mediocridade — nem Uma quinta-feira de folga… Trabalham vestindo-os e o Vento os move Não entendem. Tempo,1,,1,1,Portinari,Portinari
"Da lepra. Quem responderá? Os inventariantes quererão saber Dos feios e dos pequenos funcionários que estão sempre IV Nas filas, filas de caixões de defunto. Filas das prestações Nas filas dos hospitais, filas dos sofrimentos de arrancar Dentes, de arrancar",1,,1,1,Portinari,Portinari
sossegue coração ainda não é agora a confusão prossegue sonhos afora calma calma logo mais a gente goza perto do osso a carne é mais gostosa,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
transparente? Corri muito atrás de quinta-feira Inutilmente. Mergulhei na areia E desci de paraquedas. Em terra surgi como espantalho Confundi tudo e esqueci. De que Andava em busca? Carreguei pedras,1,,1,1,Portinari,Portinari
"ele ensina aos ventos a alegria de sentir livres seus movimentos. Trabalhou todo o dia, tanto! desde a madrugada! Descansa entre as flores, cavalinho branco, de crina dourada!",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"lume com a tempestade fremente Coriscos clarões raios e ventania sumiram num momento As crianças no funeral, com braçadas de flores, iam na frente Não brincaram mais naquele dia Se falasse às crianças elas sentiriam A beleza de tua poesia",1,,1,1,Portinari,Portinari
"O pequeno vaga-lume com sua verde lanterna, que passava pela sombra inquietando a flor e a treva — meteoro da noite, humilde, dos horizontes da relva; o pequeno vaga-lume, queimada a sua lanterna, jaz carbonizado e triste e qualquer brisa",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
nascemos na classe errada estou tomando o máximo de cuidado para que tudo isso que estou dizendo saia sem o menor resquício de stalinismo sectarismo esquerdofrênico and so on mas não dá para jogar fora esse lance nós que temos,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
mudamos para a Rua de Cima. O sol e a lua moravam atrás de nossa Casa. Quantas vezes vi o sol parado. Éramos os primeiros a receber sua luz e calor. Em muitas ocasiões ouvi a lua cantar. Esmerava-se para,1,,1,1,Portinari,Portinari
"acontecesse também a ti… Unidos num corpo só. Um dentro do outro Como pássaros invisíveis Na inocência criaríamos o bem permanente. Rio, ago., 1",1,,1,1,Portinari,Portinari
Existe um EU dentro de mim que não me pertence não é meu. Mas pode estar em mim; do outro lado de mim. Lado que comigo não tem contato. Um EU antagônico para o meu ser de agora Agora e,0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
Agitam-se meus cabelos Correndo. Meus braços vão para O sul e as pernas para o norte Boneco Carlitiano. Faltam-me as lágrimas e o Entendimento. Não vejo a lua e Nem o sol ao meio-dia… Eu não existo talvez. Me darão,1,,1,1,Portinari,Portinari
"Para minha Carolina, que me fez querer da vida o que ela tem de melhor. Com seu colar de coral, Carolina corre por entre as colunas da colina O colar de Carolina colore o colo de cal, torna corada a",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
canteiros verdes e as flores As chuvas miúdas das invernadas Monótonas e mansas valorizavam as cores A neblina nossos olhos entupia A boca com surpresa nos fumegava Ao redor tudo se transformava não era o que se via. A terra,1,,1,1,Portinari,Portinari
